h3,population_2020_x,GN,DS,District,PREPAID_ARPU,POSTPAID_ARPU,HBB_ARPU,bank_count,gas_station_count,pharmacy_count,school_count,grocery_or_supermarket_count,poi_count,Rural Urban Classifications,SEC breakdown,Revenue potential,CX_daytime,busy_hour,Busy day,Postal Code,lat,lng,geometry,k5cls
886103cb63fffff,192.3288633,Miriswatta,Walallawita,Kalutara,292.25,933.75,735.4620583,0,0,0,0,0,0,0,0,0,102,4:00 PM,thu,LK1339265,6.387928464,80.23115509,"POLYGON ((80.2353316184543 6.385215312264023, 80.23545850123334 6.390254703860779, 80.23128190210538 6.392967788011923, 80.2269786596499 6.390641488795367, 80.2268519215009 6.385602298740451, 80.23102828118164 6.38288920635535, 80.2353316184543 6.385215312264023))",1
88611c11ebfffff,99.24283963,Polwatta,Divulapitiya,Gampaha,304.2941176,1192.235294,685.7699607,0,0,0,0,0,0,0,0,0,61,5:00 PM,thu,LK1209065,7.289226997,80.04973312,"POLYGON ((80.05391561315437 7.286531142539057, 80.05403975131944 7.291576217140229, 80.04985719184377 7.294271995382502, 80.04555073644318 7.291922715260669, 80.04542674334778 7.286877845791365, 80.04960906058767 7.284182051307417, 80.05391561315437 7.286531142539057))",1
88611cb265fffff,4055.892527,Boralesgamuwa West B,Kesbewa,Colombo,347.3333333,1908.72043,2187.459055,0,0,0,0,0,0,0,0,0,"2,862",3:00 PM,fri,LK1136055,6.833846646,79.89864343,"POLYGON ((79.90281496136404 6.831147161074536, 79.90293634162541 6.836183698397048, 79.89876473739784 6.838883110016876, 79.894471995625 6.836545998072834, 79.89435075969411 6.831509666825003, 79.89852212120999 6.828810241442015, 79.90281496136404 6.831147161074536))",2
88611c8585fffff,3247.425028,Makola South Ihala,Biyagama,Gampaha,337.7727273,1543.581818,818.6389067,0,0,2,0,0,2,0,0,0,"2,012",6:00 PM,wen,LK1239080,6.982110667,79.97005552,"POLYGON ((79.97423135833678 6.979411848592671, 79.97435401504497 6.984451789272922, 79.97017810880958 6.987150533321033, 79.9658797882574 6.984809351114253, 79.96575727616842 6.97976961596348, 79.96993294001683 6.977070857485446, 79.97423135833678 6.979411848592671))",2
88611c8563fffff,1001.698985,Egoda Pelahela,Dompe,Gampaha,335.6410256,1381.282051,725.0518005,0,0,0,0,0,0,0,0,0,621,8:00 AM,mon,LK1230365,6.979243556,80.03787089,"POLYGON ((80.04204891353517 6.976543193601056, 80.04217272783848 6.981584775079319, 80.03799463550423 6.984285064224732, 80.03369297072699 6.981943785857032, 80.03356930118528 6.976902409143944, 80.03774715166358 6.974202106028743, 80.04204891353517 6.976543193601056))",3
88611c8e93fffff,3527.990099,Sooriyapaluwa East,Mahara,Gampaha,330.2183908,1498.16092,683.5099013,0,0,0,5,1,6,0,0,0,"2,186",6:00 PM,thu,LK1233285,7.0200891,79.96673749,"POLYGON ((79.97091371213818 7.017390935243619, 79.97103632683363 7.022431201856854, 79.96686003031093 7.025129292429919, 79.96256136156786 7.022787131124994, 79.9624388915191 7.017747070141571, 79.96661494557114 7.015048964828696, 79.97091371213818 7.017390935243619))",2
88611c80ebfffff,622.1673529,Dethemulla,Dompe,Gampaha,328.08,1304.16,721.2107592,0,0,0,0,0,0,0,0,0,385,6:00 PM,sat,LK1230465,6.968980658,80.10130068,"POLYGON ((80.10548063632284 6.966278739975633, 80.10560553072692 6.971321767712598, 80.10142550337554 6.974023612969844, 80.09712082296959 6.971682443967147, 80.09699607345235 6.966639620266013, 80.10117585945858 6.963937761527059, 80.10548063632284 6.966278739975633))",3
88611c8cbbfffff,195.5493271,Welikada,Gampaha,Gampaha,325.0895522,1466.253731,649.2940947,0,0,0,0,0,0,0,0,0,121,6:00 PM,wen,LK1224025,7.089019029,79.94720223,"POLYGON ((79.95137871674271 7.086322357417246, 79.95150102425767 7.091362870245297, 79.94732446405327 7.094059466490021, 79.94302583906553 7.091715565291659, 79.94290367621805 7.086675258425281, 79.94707999369527 7.083978646791046, 79.95137871674271 7.086322357417246))",1
8861023437fffff,142.4445994,Ingurudaluwa,Palindanuwara,Kalutara,255,903,94.6314,0,0,0,0,0,0,0,0,0,76,3:00 PM,mon,LK1336190,6.45346423,80.28801298,"POLYGON ((80.29219220208067 6.450750780691886, 80.2923200821931 6.455792372487902, 80.28814079428479 6.458505754264303, 80.28383386536525 6.456177552606577, 80.28370613006025 6.451136161833085, 80.28788517887163 6.448422771689858, 80.29219220208067 6.450750780691886))",1
88611c8e5dfffff,642.6279202,Keragala,Dompe,Gampaha,327.2121212,1351.848485,708.1868422,0,0,0,0,0,0,0,0,0,398,10:00 AM,sat,LK1230250,7.001034747,80.05963077,"POLYGON ((80.06380978796504 6.998334232957595, 80.06393398266837 7.003376584009287, 80.05975489252887 7.006077024215854, 80.05545184940991 7.003735127360442, 80.05532779953433 6.998692980866083, 80.05950664795434 6.995992526665159, 80.06380978796504 6.998334232957595))",3
